,idstd,id,a4a,a6a,a2,a4b_v4,a4b,a0,a3a,a6c,a6b,a14d,a14m,a14y,a14h,a14min,ic1,a1,a1a,a1c,a7,a7a,a7b,a11,a7c,a9,a20y,a20m,a20d,b1,b1x,b3,b3a,b2a,b2b,b2c,b2d,BGDb2a,b4,b4a,b5,b6,b6b,b7,b7a,b8,b8x,c3,c4,c5,c6,c7,c8a,c8b,c9a,c9b,c10,c11,c12,c13,c14,c15,c16,c17,BGDc18,BGDc19,BGDc20,c22b,BMGc7,BMGc8,BMGc18,BMGc23k,BMGc23l,BMGc23m,c30a,d1a1a,d1a1x,d1a6a,d1a6b,d1a6c,d1a3,d2,d2x,d20,d2a1,d2a1x,n3,d3a,d3b,d3c,d4,d5a,BGDd31,d8,d10,d11,d12a,d12b,d13,d14,d15a,BGDd16,BGDd17,BGDd18,BGDd19,BGDd20,BGDd21,BGDd22,BGDd23,BGDd24,BGDd25,BGDd26,BGDd27a,BGDd27b,BGDd27c,BGDd27d,BGDd27e,BGDd27f,d30a,d30b,BGDd30c,BGDd30d,BGDj30,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,e1,e2b,e6,e11,e30,h1,h2,h3x,h4x,h5,h6x,h7x,h8,h9,f1,f2,COVb1a,COVb1b,g6a,g1a,g2,g3,g4,BGDg5,g5a,g5b,g5bx,g30a,i1,i2a,i2b,i3,i4a,i4b,i30,k3a,k3bc,k3e,k3f,k3hd,k4,n5a,n5b,k5a,k5a1,k5i,k5i1,k5bc,k5bc1,k5e,k5e1,k5f,k5f1,k5hdj,k5hdj1,k4b,n5c,n5d,k6,k7,k8,k9,k10,k11,k13,k14a,k14b,k14c,k14d,k14e,k15a,k15b,k15c,COVk15,k15d,k16,k17,k20a1,k21,BGDk1a,BGDk1b,BGDk1c,BGDk3a,BGDk3b,BGDk3c,BGDk3d,BGDk3e,k30,h7a,BGDj1a,j2,j3,j4,j5,j6a,j6,j7a,j7b,j10,j11,j12,j13,j14,j15,BGDj12,BGDj16,j16,BGDj21a,BGDj21b,BGDj21c,j30a,j30b,j30c,j30e,j30f,h30,j30_taxrate_pos,j30_taxadmin_pos,j30_permit_pos,j30_instability_pos,j30_corruption_pos,j30_courts_pos,BGDj31,BGDj32,l1,COVl2,l2,l3a,l3b,l4a1,l4a2,l4b,l5a,l5b,l5,l6,l6a,l8,l9b,l9b1,l10,l11a,l11a1,l11b,l11b1,l12a,l12a1,BGDl14,BGDl15,BGDl16,BGDl17,BGDl18,BGDl19,SARl21,l30a,l30b,m1a,m1a_finance_pos,m1a_land_pos,m1a_permit_pos,m1a_corruption_pos,m1a_courts_pos,m1a_crime_pos,m1a_trade_pos,m1a_electricity_pos,m1a_workforce_pos,m1a_labor_pos,m1a_instability_pos,m1a_informal_pos,m1a_taxadmin_pos,m1a_taxrate_pos,m1a_transport_pos,n2a,n2e,n2b,n2a1,n2i,n2e1,n7a,a15d,a15m,a15y,a15h,a15min,a16,a17,a18,a19h,a19m,a13,a3b,a3c,a3,d1a2,d1a2_v4,stratificationregioncode,stratificationsizecode,stratificationsectorcode,stratificationpanelcode,wstrict,wmedian,wweak,strata
444,862861,7586,Garments,Small,Greater Dhaka,Wearing Apparel,18,Manufacturing,Greater Dhaka,10,Small,9,5,2022,14,28,1,Bangladesh,Bengali,Establishment,No,,,,,,2021,6,30,Sole proprietorship,,100,Yes,100,0,0,0,No,No,,2015,25,2015,20,No,No,,No,,,Yes,20,0,30,5,,Yes,5,No,,,No,,,No,,,No,No,,No,Yes,No,No,Moderate obstacle,Manufacturing of ,Manufacturing of Gents Knit trouser,,,,70,6000000,Six million,5,5000000,Five million,8000000,100,0,0,,,,,0,0,100,0,,,,Knit Fabrics,,,4,,No,7,No,5,Yes,Yes,Extremely,Not at all,Moderately,Not at all,Not at all,Not at all,No obstacle,Minor obstacle,-7,Very severe obstacle,-7,-7,Yes,3-9 production performance indicators,Yes,Main focus was on short-term (less than one year) production targets,Targets were not achieved,All managers and most production workers,No,,-7,Rarely or never,National_main product sold mostly across the country where establishment is located,1500,No,Yes,Moderate obstacle,No,,,,No,,,No,,90,66,Yes,24,0,-7,No,,,No,,,,Very severe obstacle,Yes,,6000,No,,,No obstacle,40,0,20,40,0,No,,,,,,,,,,,,,,,No,,,No,No,Yes,Non-bank financial institutions,2022,200000,No,,,,,,,1,200000,0,No,No,Other,,No,No,Yes,No,Cash,Cash,Cash,-7,Cash,Very severe obstacle,Tend to disagree,-9,1,No,,,No,,0,,No,,,No,,,No,No,No,Strongly agree,Strongly agree,Tend to disagree,Major obstacle,No obstacle,No obstacle,No obstacle,Major obstacle,No obstacle,2,6,5,4,1,3,Tax officials are corrupt,Fewer number of taxes,10,14,20,9,1,4,2,3,3,0,,0,,,,0,No,,,,,,,,,,,,,No,No obstacle,No obstacle,Access to finance,7,15,3,5,6,14,1,9,2,8,4,10,11,12,13,1500000,4000000,60000,1200000,,2500000,500000,9,5,2022,15,11,Somewhat truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,3,No,No,City with population over 1 million,1730,1430,Greater Dhaka,Small (5-19),Garments,Fresh,11.0063715,15.121163,42.19236,45
445,862862,7606,Garments,Small,Dhaka City,Wearing Apparel,18,Manufacturing,Dhaka MA,25,Medium,26,6,2022,13,44,1,Bangladesh,Bengali,Establishment,No,,,,,,2021,6,30,Sole proprietorship,,100,Yes,100,0,0,0,No,No,,2004,10,2005,25,No,No,,No,,,Yes,40,0,40,10,,No,,No,,,No,,,No,,,No,No,,No,Yes,Yes,No,No obstacle,Manufacturing of ,Manufacturing of  Gents Shirt,,,,100,5000000,Five million,0,6000000,Six million,5500000,100,0,0,,,,,0,0,100,0,,,,Fabric,,,8,,Yes,10,No,10,No,No,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,-7,-7,-7,-7,-7,We fixed it and took action to make sure it did not happen again,No,,Yes,Main focus was on long-term (one year or more) production targets,Possible to achieve with normal amount of effort,Only senior managers,No,,-9,-7,Local_main product sold mostly in same municipality where establishment is located,100,No,No,No obstacle,No,,,,No,,,No,,80,84,Yes,20,0,0,No,,,No,,,,No obstacle,Yes,,6000,No,,,Minor obstacle,100,0,0,0,0,Yes,10000,0,-9,,-9,,-9,,-9,,-9,,-9,,No,,,Yes,No,No,,,,,,,,,,,,,,No,No,No need for a loan - establishment had sufficient capital,,No,No,Yes,No,Cash,Cash,Cash,Cash,Cash,-7,Strongly agree,Tend to agree,0,No,,,No,,-9,,No,,,No,,,No,No,No,Tend to agree,Tend to agree,Tend to agree,No obstacle,No obstacle,No obstacle,No obstacle,Minor obstacle,No obstacle,2,3,6,5,1,4,0,-9,7,8,15,6,1,1,3,2,2,0,,0,,,,1,No,,,,,,,,,,,,,No,No obstacle,No obstacle,Electricity,7,15,3,5,6,14,1,9,2,8,4,10,11,12,13,750000,3200000,72000,740000,,3000000,500000,26,6,2022,14,10,Somewhat truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,2,Yes,Yes,City with population over 1 million,1810,1410,Dhaka City,Small (5-19),Garments,Fresh,9.828025,16.159784,38.86196,5
446,862863,7667,Garments,Small,Dhaka City,Wearing Apparel,18,Manufacturing,Dhaka MA,9,Small,16,3,2022,10,44,1,Bangladesh,Bengali,Firm,No,,,,,,2021,4,13,Sole proprietorship,,100,Yes,100,0,0,0,No,No,,2013,12,2019,10,No,No,,No,,,No,,,,,,No,,No,,,-7,,,-7,,,No,Yes,No,No,No,No,Yes,Minor obstacle,Manufacturing of ,Embroidery on ladies' wear,,,,60,2250000,Two million and two hundred fifty thousand,0,1800000,One million eight hundred thousand,2000000,100,0,0,,,,,0,8,60,40,No,,,Polyester Spin (Thread),No,,4,,No,5,Yes,5,No,Yes,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,No obstacle,-7,-7,Minor obstacle,-7,We fixed it and took action to make sure it did not happen again,Yes,3-9 production performance indicators,No,,,,No,,Non-managers are normally not promoted,Rarely or never,Local_main product sold mostly in same municipality where establishment is located,-4,No,No,No obstacle,No,,,,No,,,No,,100,90,Yes,5,0,0,No,,,No,,,,Moderate obstacle,No,,,No,,,No obstacle,50,0,0,0,50,Yes,7000,0,50,,0,,0,,0,,0,,50,,No,,,No,No,No,,,,,,,,,,,,,,Yes,No,Size of loan and maturity were insufficient,,No,No,No,No,Cash,-7,Cash,-7,Cash,Moderate obstacle,Strongly agree,Strongly agree,0,No,,,No,,0,,No,,,No,,,No,No,No,-7,-9,-9,-7,-7,No obstacle,No obstacle,No obstacle,-7,5,2,4,1,6,3,0,Better local services provided by the government,9,9,10,7,2,6,1,0,2,0,,0,,,,1,No,,,,,,,,,,,,,No,No obstacle,Minor obstacle,Access to finance,15,6,7,3,13,11,10,9,14,1,5,8,2,4,12,990000,500000,150000,990000,,400000,850000,16,3,2022,11,39,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,3,No,No,Over 250.000 to 1 million,1810,1410,Dhaka City,Small (5-19),Garments,Fresh,9.828025,16.159784,38.86196,5
447,862864,7688,Garments,Small,Dhaka City,Wearing Apparel,18,Manufacturing,Dhaka MA,25,Medium,2,4,2022,13,39,1,Bangladesh,Bengali,Establishment,No,,,,,,2021,12,31,Sole proprietorship,,100,Yes,100,0,0,0,No,No,,2007,25,2007,15,No,No,,No,,,Yes,30,0,15,,100000,Yes,5,No,,,No,,,No,,,No,No,,No,Yes,No,Yes,Moderate obstacle,Manufacturing of ,Embroidery on ladies' wear,,,,100,2000000,Two million,0,3000000,Three million,10000000,100,0,0,,,,,0,5,100,0,,,,Thread,,,5,,No,15,No,2,No,No,Moderately,Moderately,Slightly,Not at all,Not at all,Slightly,No obstacle,No obstacle,-7,No obstacle,No obstacle,We fixed it and took action to make sure it did not happen again,No,,No,,,,No,,Non-managers are normally not promoted,Within 6 months of identifying non-manager under-performance,Local_main product sold mostly in same municipality where establishment is located,50,No,Yes,Minor obstacle,No,,,,No,,,No,,10,60,Yes,40,100,100,No,,,No,,,,Moderate obstacle,No,,,No,,,No obstacle,100,0,0,0,0,No,,,,,,,,,,,,,,,No,,,No,No,No,,,,,,,,,,,,,,No,No,No need for a loan - establishment had sufficient capital,,No,No,No,No,Cash,Cash,Cheque,-7,Cash,Minor obstacle,Tend to disagree,Tend to disagree,0,No,,,No,,-8,,No,,,No,,,No,No,No,Tend to agree,Tend to agree,Tend to agree,Moderate obstacle,Minor obstacle,Minor obstacle,-7,-7,-7,6,5,3,2,1,4,Other reason,Fewer number of taxes,25,25,25,20,5,20,0,0,15,0,,0,,,,0,No,,,,,,,,,,,,,No,No obstacle,No obstacle,Electricity,13,6,15,9,11,7,8,3,2,10,1,4,14,5,12,0,0,5000,4800000,,2500000,20000000,2,4,2022,14,25,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,2,Yes,Yes,Over 250.000 to 1 million,1810,1410,Dhaka City,Small (5-19),Garments,Fresh,9.828025,16.159784,38.86196,5
448,862865,7693,Garments,Small,Dhaka City,Wearing Apparel,18,Manufacturing,Dhaka MA,21,Medium,1,9,2022,13,4,1,Bangladesh,Bengali,Establishment,No,,,,,,2021,4,13,Sole proprietorship,,100,Yes,100,0,0,0,No,No,,2005,12,2006,25,No,No,,No,,,Yes,60,1,0,3,,No,,No,,,-7,,,-7,,,No,No,,No,Yes,No,No,No obstacle,Manufacturing of ,Manufacturing of ladies' wear,,,,100,10000000,Ten million,0,9000000,Nine million,9000000,100,0,0,,,,,0,0,100,0,,,,Cloth,,,-9,Yes,Yes,12,Yes,3,Yes,Yes,Very much,Not at all,Not at all,Not at all,Not at all,Not at all,Moderate obstacle,-7,-7,No obstacle,No obstacle,We fixed it but did not take further action,No,,No,,,,No,,Non-managers are normally not promoted,After 6 months of identifying non-manager under-performance,National_main product sold mostly across the country where establishment is located,-4,No,Yes,Major obstacle,No,,,,No,,,No,,68,60,Yes,12,0,0,No,,,No,,,,Minor obstacle,No,,,No,,,No obstacle,60,40,0,0,0,No,,,,,,,,,,,,,,,No,,,Yes,No,Yes,Private commercial banks,-9,3000000,Yes,No,No,No,Yes,No,-9,-9,,-9,No,No,Size of loan and maturity were insufficient,,No,No,No,No,Cash,Cash,Cash,-7,Cash,Moderate obstacle,Strongly agree,Strongly disagree,3,No,,,No,,-9,,No,,,No,,,No,No,No,Tend to agree,-9,Strongly agree,Moderate obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,6,1,2,3,4,5,Too difficult or long to receive refunds,Fewer number of taxes,21,18,20,19,2,17,0,2,0,0,,15,0,4,15,,No,,,,,,,,,,,,,No,No obstacle,No obstacle,Practices of competitors in the informal sector,9,14,11,5,2,12,8,1,3,15,4,6,10,7,13,2415000,6000000,45000,2085000,,5000000,1000000,1,9,2022,14,25,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,1,Yes,Yes,City with population over 1 million,1810,1410,Dhaka City,Small (5-19),Garments,Fresh,9.828025,16.159784,38.86196,5
449,862866,7727,Garments,Small,Chattogram,Wearing Apparel,18,Manufacturing,Chattogram,7,Small,28,6,2022,19,16,1,Bangladesh,Bengali,Establishment,No,,,,,,2021,12,31,Sole proprietorship,,100,No,100,0,0,0,No,No,,2015,10,2015,14,No,No,,No,,,No,,,,,,No,,No,,,No,,,No,,,Yes,No,,No,No,No,No,Minor obstacle,Manufacturing of ,Manufacturing of  Gents Shirt,,,,100,2400000,Two million four hundred thousand,5,2000000,Two million,2000000,100,0,0,,,,,0,12,100,0,,,,Fabric,,,-9,-9,Yes,-9,-9,0,-9,-9,-9,-9,-9,-9,Not at all,-9,No obstacle,-7,-7,Major obstacle,No obstacle,-7,Yes,1-2 production performance indicators,-9,,,,Yes,Their own performance,Promotions were based solely on performance and ability,-7,Local_main product sold mostly in same municipality where establishment is located,-4,No,No,No obstacle,No,,,,No,,,No,,60,72,Yes,15,100,100,No,,,No,,,,Major obstacle,Yes,,150000,No,,,No obstacle,40,60,0,0,0,No,,,,,,,,,,,,,,,No,,,Yes,-9,Yes,Private commercial banks,-9,-9,-9,,,,,,,-9,,-9,-9,-9,,,-9,Yes,Yes,Yes,Cash,Cash,-7,-7,Cash,Major obstacle,Tend to agree,-9,1,Yes,1,No,No,,0,,-9,,,-9,,,-9,No,No,Strongly agree,-9,Strongly agree,Major obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,4,6,1,5,3,2,-9,-9,7,11,3,5,2,5,0,0,0,0,,0,,,,3,No,,,,,,,,,,,,,No,No obstacle,Moderate obstacle,Corruption,15,3,1,11,14,7,4,2,8,6,5,9,13,12,10,885000,1000000,120000,875000,,820000,600000,28,6,2022,20,21,Somewhat truthful,Are estimates computed with some precision,One visit in face-to-face interview with different managers/staff,1,0,1,No,No,City with population over 1 million,1810,1410,Chittagong,Small (5-19),Garments,Fresh,1.9612311,3.9051776,8.781187,74
450,862867,7797,Garments,Small,Rajshahi,Wearing Apparel,18,Manufacturing,Rajshahi,20,Medium,30,7,2022,17,48,1,Bangladesh,Bengali,Establishment,No,,,,,,2021,6,30,Sole proprietorship,,100,Yes,100,0,0,0,No,No,,1987,12,1987,37,No,No,,No,,,Yes,2,0,30,,6000,No,,No,,,No,,,No,,,Yes,No,,No,Yes,Yes,Yes,Minor obstacle,Manufacturing of ,Manufacturing of  Gents Pant,,,,60,8500000,Eight million five hundred thousand,0,7200000,Seven million two hundred thousand,8200000,100,0,0,,,,,0,0,100,0,,,,Denim,,,10,,Yes,5,No,20,Yes,Yes,Very much,Moderately,Extremely,Not at all,Slightly,Not at all,No obstacle,No obstacle,-7,No obstacle,No obstacle,We fixed it and took action to make sure it did not happen again,Yes,3-9 production performance indicators,Yes,Main focus was on long-term (one year or more) production targets,Targets were not achieved,Only senior managers,Yes,Their own performance,Non-managers are normally not promoted,Rarely or never,Local_main product sold mostly in same municipality where establishment is located,0,No,No,Moderate obstacle,No,,,,No,,,No,,80,72,Yes,20,100,100,No,,,No,,,,No obstacle,Yes,,100000,No,,,No obstacle,70,30,0,0,0,No,,,,,,,,,,,,,,,No,,,Yes,No,Yes,State-owned banks or government agency,2018,4900000,Yes,Yes,No,No,No,No,17000000,1,5100000,4900000,No,No,No need for a loan - establishment had sufficient capital,,No,No,No,No,Cash,Cash,Cash,Cash,Cash,No obstacle,Strongly agree,Strongly agree,2,No,,,No,,0,,No,,,No,,,No,No,No,Strongly agree,Tend to agree,Strongly agree,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,4,5,6,3,2,1,0,Fewer number of taxes,18,18,18,12,6,6,6,0,0,0,,0,,,,3,No,,,,,,,,,,,,,No,No obstacle,No obstacle,Inadequately educated workforce,14,1,10,8,5,9,3,2,15,11,13,4,6,12,7,2200000,3500000,360000,2200000,,3000000,1500000,30,7,2022,18,41,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,2,No,No,City with population over 1 million,1810,1410,Rajshahi,Small (5-19),Garments,Fresh,1,1.3084067,1.8785948,120
451,862868,7802,Garments,Small,Dhaka City,Wearing Apparel,18,Manufacturing,Dhaka MA,7,Small,24,3,2022,15,20,1,Bangladesh,Bengali,Firm,No,,,,,,2021,6,30,Sole proprietorship,,100,Yes,100,0,0,0,No,No,,1996,40,1996,10,No,No,,No,,,No,,,,,,Yes,3,No,,,No,,,Yes,2,3,No,No,,No,No,No,Yes,Major obstacle,Manufacturing of ,Manufacturing of Gents Panjabi/ Kurta (A loose collarless shirt of a type worn by people in South Asia),,,,85,2000000,Two million,0,9000000,Nine million,10000000,100,0,0,,,,,0,5,100,0,,,,Cloth,,,5,,No,15,No,5,Yes,No,Not at all,Moderately,Moderately,Not at all,Not at all,Not at all,No obstacle,-7,-7,Minor obstacle,-7,We fixed it and took action to make sure it did not happen again,No,,Yes,Main focus was on long-term (one year or more) production targets,Possible to achieve with normal amount of effort,Only senior managers,No,,Promotions were based solely on performance and ability,Rarely or never,National_main product sold mostly across the country where establishment is located,50,No,Yes,Major obstacle,No,,,,No,,,No,,50,48,Yes,5,100,100,No,,,No,,,,No obstacle,No,,,No,,,No obstacle,100,0,0,0,0,No,,,,,,,,,,,,,,,No,,,Yes,No,No,,,,,,,,,,,,,,No,No,No need for a loan - establishment had sufficient capital,,No,No,No,No,Cash,Cash,Cash,Cash,Cash,Minor obstacle,Tend to disagree,-7,0,Yes,5,-8,No,,-8,,No,,,No,,,No,No,No,-7,Tend to agree,Tend to agree,Major obstacle,Moderate obstacle,No obstacle,-7,Major obstacle,No obstacle,2,5,3,1,4,6,Other reason,Other,7,40,40,5,2,5,0,0,0,0,,0,,,,0,No,,,,,,,,,,,,,-7,Minor obstacle,Moderate obstacle,Electricity,1,10,12,11,9,4,3,14,8,6,13,15,2,7,5,600000,800000,20000,3000000,,4000000,5000000,24,3,2022,17,35,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,2,No,No,Over 250.000 to 1 million,1810,1410,Dhaka City,Small (5-19),Garments,Fresh,9.828025,16.159784,38.86196,5
452,862869,7814,Garments,Small,Dhaka City,Wearing Apparel,18,Manufacturing,Dhaka MA,65,Medium,26,6,2022,12,48,1,Bangladesh,Bengali,Establishment,No,,,,,,2021,6,30,Partnership,,50,Yes,100,0,0,0,No,No,,2010,8,2013,12,No,No,,No,,,Yes,200,0,40,10,,No,,No,,,No,,,No,,,No,No,,No,Yes,Yes,No,No obstacle,Manufacturing of ,Manufacturing of  Gents Pant,,,,100,40000000,Forty million,0,80000000,Eighty million,75000000,100,0,0,,,,,0,10,100,0,,,,Denim,,,7,,Yes,12,No,30,No,Yes,Very much,Slightly,Slightly,Not at all,Not at all,Not at all,-7,-7,-7,-7,-7,We fixed it and took action to make sure it did not happen again,No,,No,,,,No,,-9,-9,Local_main product sold mostly in same municipality where establishment is located,60,No,No,No obstacle,No,,,,No,,,No,,80,84,Yes,24,0,0,No,,,No,,,,No obstacle,Yes,,12000,Yes,,800000,Minor obstacle,100,0,0,0,0,No,,,,,,,,,,,,,,,No,,,Yes,No,No,,,,,,,,,,,,,,No,No,Application procedures were complex,,No,-9,Yes,No,Cash,Cash,Cash,Cash,Cash,Moderate obstacle,Tend to disagree,Tend to disagree,-9,No,,,No,,-9,,No,,,No,,,No,No,No,Tend to agree,Tend to agree,Tend to agree,Minor obstacle,Minor obstacle,-7,Moderate obstacle,Minor obstacle,No obstacle,3,2,5,1,4,6,-9,0,70,60,60,60,10,5,35,20,7,0,,5,5,2,,7,No,,,,,,,,,,,,,No,No obstacle,No obstacle,Electricity,15,3,9,1,5,4,13,7,8,14,12,10,2,11,6,8000000,19000000,1800000,3800000,,10000000,20000000,26,6,2022,13,22,Somewhat truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,3,Yes,Yes,City with population over 1 million,1810,1410,Dhaka City,Small (5-19),Garments,Fresh,9.828025,16.159784,38.86196,5
453,862870,7818,Garments,Small,Chattogram,Wearing Apparel,18,Manufacturing,Chattogram,23,Medium,25,7,2022,10,59,1,Bangladesh,Bengali,Establishment,No,,,,,,2021,6,30,Sole proprietorship,,100,Yes,100,0,0,0,No,No,,2017,28,2017,10,Yes,No,,No,,,Yes,30,2,0,25,,No,,No,,,No,,,No,,,No,No,,No,No,Yes,No,Major obstacle,Manufacturing of ,Manufacturing of Knit wear,,,,100,6300000,Six million three hundred thousand,0,4500000,Four million five hundred thousand,4000000,100,0,0,,,,,0,0,100,0,,,,Knit Fabrics,,,2,,Yes,5,No,5,No,No,Slightly,Slightly,Slightly,Slightly,Not at all,Not at all,No obstacle,-7,-7,Minor obstacle,Minor obstacle,-7,No,,No,,,,No,,-7,-7,National_main product sold mostly across the country where establishment is located,2,No,Yes,Minor obstacle,No,,,,No,,,No,,40,72,Yes,24,0,0,No,,,No,,,,Major obstacle,Yes,,8000,No,,,No obstacle,100,0,0,0,0,No,,,,,,,,,,,,,,,No,,,Yes,Yes,No,,,,,,,,,,,,,,No,No,No need for a loan - establishment had sufficient capital,,Yes,No,No,No,Cash,Cash,Cash,Cash,Cash,No obstacle,Tend to agree,Tend to agree,100,No,,,No,,0,,No,,,No,,,No,No,No,Tend to agree,Tend to agree,Tend to agree,Minor obstacle,Moderate obstacle,Minor obstacle,No obstacle,Minor obstacle,-7,3,4,6,2,5,1,Tax officials are corrupt,Increased enforcement or monitoring by the government,23,15,12,20,3,15,5,0,15,0,,0,,,,3,No,,,,,,,,,,,,,No,No obstacle,No obstacle,Corruption,11,2,13,5,15,6,4,9,8,14,7,12,1,3,10,2500000,2800000,170000,1600000,,2000000,2000000,25,7,2022,12,6,Truthful,Are taken directly from establishment records,One visit in face-to-face interview with one person,,,3,No,No,City with population over 1 million,1730,1430,Chittagong,Small (5-19),Garments,Fresh,1.9612311,3.9051776,8.781187,74
454,862871,7850,Garments,Small,Dhaka City,Textiles,17,Manufacturing,Dhaka MA,25,Medium,12,5,2022,11,45,1,Bangladesh,Bengali,Establishment,No,,,,,,2021,6,30,Sole proprietorship,,100,Yes,100,0,0,0,No,No,,1999,20,1999,20,No,No,,No,,,No,,,,,,No,,No,,,No,,,No,,,Yes,No,,No,No,No,No,No obstacle,Manufacturing of ,Manufacturing of Jute sack,,,,100,22000000,Twenty two million,2,12500000,Twelve million and five hundred thousand,25000000,100,0,0,,,,,0,0,100,0,,,,Jute,,,25,,No,10,No,15,No,Yes,Very much,Very much,Not at all,Not at all,Not at all,Not at all,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,We fixed it but did not take further action,No,,-9,,,,No,,-9,-9,Local_main product sold mostly in same municipality where establishment is located,30,No,Yes,No obstacle,No,,,,No,,,No,,60,80,Yes,85,0,0,No,,,Yes,,,,No obstacle,-9,,,No,,,No obstacle,100,0,0,0,0,No,,,,,,,,,,,,,,,No,,,Yes,No,No,,,,,,,,,,,,,,No,No,No need for a loan - establishment had sufficient capital,,No,No,No,No,Cash,Cheque,Cheque,Cheque,Cash,No obstacle,Strongly agree,Strongly agree,15,No,,,No,,-8,,-9,,,No,,,No,No,No,Strongly agree,Strongly agree,Strongly disagree,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,3,1,5,2,4,6,-8,Increased ease of paying taxes,25,25,25,25,0,25,0,0,3,0,,25,25,8,-9,,No,,,,,,,,,,,,,No,No obstacle,No obstacle,-7,13,10,5,11,12,7,9,2,3,4,15,14,1,6,8,310000,400000,360000,310000,,3000000,20000000,12,5,2022,12,31,Truthful,Are taken directly from establishment records,One visit in face-to-face interview with one person,,,1,Yes,Yes,City with population over 1 million,1729,1399,Dhaka City,Small (5-19),Garments,Fresh,9.828025,16.159784,38.86196,5
455,862872,7871,Garments,Small,Dhaka City,Wearing Apparel,18,Manufacturing,Dhaka MA,20,Medium,18,6,2022,12,9,1,Bangladesh,Bengali,Establishment,No,,,,,,2021,6,30,Sole proprietorship,,100,Yes,100,0,0,0,No,No,,2016,10,2016,15,No,No,,No,,,Yes,60,0,20,-9,,Yes,-9,No,,,No,,,No,,,No,No,,No,Yes,Yes,No,No obstacle,Manufacturing of ,Manufacturing of  Gents Pant,,,,100,9800000,Nine million eight hundred thousand,0,8000000,Eight million,13000000,100,0,0,,,,,0,12,100,0,,,,Denim,,,7,,Yes,6,No,10,No,Yes,Moderately,Moderately,Moderately,Not at all,Not at all,Moderately,No obstacle,-7,-7,-7,-7,We fixed it and took action to make sure it did not happen again,No,,Yes,Main focus was on long-term (one year or more) production targets,Possible to achieve with more than normal effort,Only senior managers,No,,-7,-7,Local_main product sold mostly in same municipality where establishment is located,100,No,No,No obstacle,No,,,,No,,,No,,75,84,Yes,20,0,0,No,,,No,,,,No obstacle,Yes,,200,No,,,Moderate obstacle,100,0,0,0,0,Yes,270000,0,75,,0,,0,,0,,0,,25,,No,,,Yes,No,No,,,,,,,,,,,,,,No,No,No need for a loan - establishment had sufficient capital,,No,No,No,No,Cash,Cash,Cash,Cash,Cash,-7,Tend to disagree,Tend to disagree,1,No,,,No,,-9,,No,,,No,,,No,No,No,Tend to agree,Tend to agree,Tend to agree,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,2,6,4,1,3,5,Other reason,Better local services provided by the government,20,30,30,20,0,20,0,0,2,0,,0,,,,0,Yes,90,,10,,10,,Yes,-9,-9,No,,,No,No obstacle,No obstacle,Corruption,7,15,3,5,6,14,1,9,2,8,4,10,11,12,13,2200000,3700000,180000,6000000,,2000000,1500000,18,6,2022,12,47,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,2,No,No,Over 250.000 to 1 million,1810,1410,Dhaka City,Small (5-19),Garments,Fresh,9.828025,16.159784,38.86196,5
