Qcode,Null_2013,Null_2022,Type,QUESTION_2013,QUESTION_2022,process
k5e,1062,841,Percent,"2011/2012 회계연도 동안 이 시설의 총 고정 자산 구매 중 다음 각 출처에서 자금을 조달한 비율을 추정하십시오.
비은행금융기관에서 차입","회계연도[최근 전체 회계 연도 삽입] 동안 다음 출처에서 자금을 조달한 고정 자산의 총 구매 비율을 표시해라_소액금융기관, 신용협동조합, 신용협동조합 또는 금융회사를 포함한 비은행 금융기관에서 차입",Null
j5,562,497,Nominal,이러한 검사 또는 회의에서 선물이나 비공식적인 지불이 예상되거나 요청되었습니까?,세무 공무원의 검사 또는 회의에서 선물이나 비공식적인 지불이 예상되거나 요청되었습니까?,
j6a,12,11,Nominal,지난 1년 동안 이 시설은 정부 계약을 확보했거나 확보하려고 시도했습니까?,지난 1년 동안 이 시설은 정부 계약을 확보했거나 확보하려고 시도했습니까?,
j7a,,328,,"시설은 관세, 세금, 면허, 규정, 서비스 등과 관련하여 ""일을 처리""하기 위해 때때로 공무원에게 선물이나 비공식적인 금전을 제공해야 한다고 합니다. 연간 가치, 이와 같은 시설은 이러한 목적으로 공무원에게 비공식 지불이나 선물을 지불합니까?
약식 지불로 지불된 총 연간 판매 비율","시설은 관세, 세금, 면허, 규정, 서비스 등과 관련하여 ""일을 처리""하기 위해 때때로 공무원에게 선물이나 비공식적인 금전을 제공해야 한다고 합니다. 평균적으로 연간 총 매출 또는 예상 총 연간 가치의 몇 퍼센트 , 이와 같은 시설은 이러한 목적으로 공무원에게 비공식적인 지불이나 선물을 지불합니까?_퍼센트",
k13,861,689,Nominal,가장 최근의 대출 또는 신용 한도만 언급할 때 자금 조달에 담보가 필요했습니까?,신용 한도 또는 대출 자금 조달에 담보가 필요했습니까?,
k15d,31,237,Nominal,현재 이 시설의 소유주(들)는 이 시설의 사업 활동 자금 조달에 사용되는 미불 개인 대출을 가지고 있습니까?,현재 이 시설의 소유주에게 미불 개인 대출이 있습니까?,
k16,50,227,Nominal,"지난 회계연도 2011/2012를 다시 언급할 때, 이 시설이 대출이나 신용 한도를 신청했습니까?","회계 연도[마지막 전체 회계 연도 삽입]를 다시 참조하면, 이 시설이 신용 한도 또는 대출을 신청했습니까?",
k14b,954,760,Nominal,"가장 최근의 대출 또는 신용 한도만 참조하면, 어떤 유형의 담보가 필요했습니까?
Machinery and equipment including movables",신용 한도 또는 대출 자금 조달에 어떤 유형의 담보가 필요했습니까?_동산을 포함한 기계 및 장비,Null
k17,437,448,Nominal,이 시설이 신용 한도 또는 대출을 신청하지 않은 주된 이유는 무엇입니까?,이 시설이 신용 한도 또는 대출을 신청하지 않은 주된 이유는 무엇입니까?,
k5bc,1062,841,Percent,"2011/2012 회계연도 동안 이 시설의 총 고정 자산 구매 중 다음 각 출처에서 자금을 조달한 비율을 추정하십시오.
은행에서 차입: 민간 및 국유",회계연도[최근 전체 회계 연도 삽입] 동안 다음 출처에서 자금을 조달한 고정 자산의 총 구매 비율을 표시해라_은행에서 차입: 민간 및 국유,Null
c16,1376,988,Continuous,2011/2012 회계연도 동안 일반적인 한 달에 이 시설에서 물 공급 부족 사건이 몇 번 발생했습니까?_월 평균 물부족 건수,한 달 동안 이 시설에서 물 공급 부족 사건이 몇 번 발생했습니까?,Null
k21,4,95,Nominal,2011/2012 회계연도에 이 시설은 외부 감사인의 연간 재무제표 확인 및 인증을 받았습니까?,회계 연도 [마지막 전체 회계 연도 삽입]에 이 시설은 외부 감사인의 연간 재무제표 확인 및 인증을 받았습니까?,
k30,5,98,Nominal,"카드의 응답 옵션 사용 금융 접근성이 이 시설의 현재 운영에 어느 정도 장애가 됩니까?
Acess to finance",금융에 대한 접근은 현재 이 시설의 운영에 어느 정도 장애가 됩니까?,
k10,873,745,,"가장 최근의 신용 한도 또는 대출만 참조하면 가장 최근 신용 한도 또는 대출이 승인된 연도는 언제입니까?
Year",가장 최근의 신용 한도 또는 대출이 승인된 연도는 언제입니까?,Null
k3a,9,87,Percent,"2011/2012 회계연도 동안, 일상적인 운영 자본 중 다음의 각 출처에서 자금을 조달한 비율을 추정해 주십시오?_내부 자금 또는 이익 잉여금","회계 연도[최근 전체 회계 연도 삽입] 동안, 이 시설의 운전 자본, 즉 일상적인 운영에 사용할 수 있는 자금 중 다음 각 출처에서 자금을 조달한 비율을 추정해 주십시오._내부 자금 또는 이익 잉여금",
k3bc,8,86,Percent,"2011/2012 회계연도 동안, 일상적인 운영 자본 중 다음의 각 출처에서 자금을 조달한 비율을 추정해 주십시오?_은행에서 차입: 개인 및 국유","회계 연도[최근 전체 회계 연도 삽입] 동안, 이 시설의 운전 자본, 즉 일상적인 운영에 사용할 수 있는 자금 중 다음 각 출처에서 자금을 조달한 비율을 추정해 주십시오._은행에서 빌림:민간 및 국유금융 기관에서 빌림",
k3e,8,81,Percent,"2011/2012 회계연도 동안, 일상적인 운영 자본 중 다음의 각 출처에서 자금을 조달한 비율을 추정해 주십시오?_소액 금융 기관, 신용 협동 조합, 신용 조합 또는 금융 회사를 포함하는 비은행 금융 기관에서 차입","회계 연도[최근 전체 회계 연도 삽입] 동안, 이 시설의 운전 자본, 즉 일상적인 운영에 사용할 수 있는 자금 중 다음 각 출처에서 자금을 조달한 비율을 추정해 주십시오._소액금융기관, 신용협동조합, 신용협동조합 또는 금융회사를 포함한 비은행 금융기관에서 차입",
k3f,8,80,Percent,"2011/2012 회계연도 동안, 일상적인 운영 자본 중 다음의 각 출처에서 자금을 조달한 비율을 추정해 주십시오?_공급업체의 신용 구매 및 고객의 선불","회계 연도[최근 전체 회계 연도 삽입] 동안, 이 시설의 운전 자본, 즉 일상적인 운영에 사용할 수 있는 자금 중 다음 각 출처에서 자금을 조달한 비율을 추정해 주십시오._공급업체로부터 신용 구매 및 고객으로부터 선지급",
k3hd,8,82,Percent,"2011/2012 회계연도 동안, 일상적인 운영 자본 중 다음의 각 출처에서 자금을 조달한 비율을 추정해 주십시오?_기타, 대부업자, 친구, 친척 등","회계 연도[최근 전체 회계 연도 삽입] 동안, 이 시설의 운전 자본, 즉 일상적인 운영에 사용할 수 있는 자금 중 다음 각 출처에서 자금을 조달한 비율을 추정해 주십시오._기타, 대금업자, 친구, 친척 등",
h2,966,997,Nominal,새롭거나 상당히 개선된 제품이나 서비스가 시설의 주요 시장에도 새로운가?,새롭거나 개선된 제품이나 서비스가 시설의 주요 시장에도 새로운 것이 있었습니까?,Null
g5b,1322,868,Nominal,이 시설의 총 판매 면적은 얼마입니까?_단위만 입력,"이 시설의 총 판매 면적
SPECIFY UNITS",Null
k4,6,13,Nominal,"2011/2012 회계연도에 이 시설은 기계, 차량, 장비, 토지 또는 건물과 같은 고정 자산을 구입했습니까?","회계연도 [마지막 전체 회계연도 삽입]에 이 시설은 기존 구조물의 확장 및 개조를 포함하여 기계, 차량, 장비, 토지 또는 건물과 같은 신규 또는 중고 고정 자산을 구입했습니까?",
k6,4,16,Nominal,현재 이 시설에 당좌 예금 또는 저축예금 계좌가 있습니까?,현재 이 시설에 당좌예금(당좌예금) 또는 저축예금이 있습니까?,
k5a,1062,841,Percent,"2011/2012 회계연도 동안 이 시설의 총 고정 자산 구매 중 다음 각 출처에서 자금을 조달한 비율을 추정하십시오.
내부자금 또는 이익잉여금",회계연도[최근 전체 회계 연도 삽입] 동안 다음 출처에서 자금을 조달한 고정 자산의 총 구매 비율을 표시해라_내부자금 또는 이익잉여금,Null
k7,44,145,Nominal,현재 이 시설에 overdraft facility가 있습니까?,이 기관에 당좌대월 시설이 있습니까?,
k8,26,127,Nominal,현재 이 시설은 신용 한도 또는 금융 기관으로부터 대출을 받고 있습니까?,이 시설은 신용 한도 또는 금융 기관으로부터의 대출이 있습니까? ,
k9,821,624,Nominal,"가장 최근의 신용 한도 또는 대출을 언급할 때, 이 대출을 승인한 금융 기관은 무엇입니까?",가장 최근의 신용 한도 또는 대출을 언급할 때 이 대출을 승인한 금융 기관은 무엇입니까?,
l1,0,6,Continuous,"2011/2012 회계연도 말에 이 시설에서 근무한 상근 풀타임 직원은 몇 명입니까? 모든 직원 및 관리자를 포함하십시오.(정규직, 풀타임 직원은 1회계연도 이상의 계약 기간 및/또는 고용 계약 갱신이 보장되고 전체 교대 근무를 하는 모든 유급 직원으로 정의됩니다.)
정규직 근로자 지난 회계연도 말",회계 연도 말에 [마지막 전체 회계 연도 삽입] 이 시설에서 근무한 상근 풀타임 개인은 몇 명입니까? 모든 근로자와 관리자를 포함하십시오.,
l10,0,7,Nominal,2011/2012 회계연도 동안 이 시설은 정규 직원을 위한 정규 교육 프로그램을 가지고 있었습니까?,회계연도 말 [마지막 회계연도 삽입] 동안 이 시설은 상근 정규 직원을 위한 공식 교육 프로그램을 가지고 있었습니까?,
j11,1396,987,Continuous,이 수입 허가를 신청한 날부터 허가 받은 날까지 대략 며칠이 걸렸습니까?(Days),수입허가를 받기 위해 신청일로부터 며칠을 기다렸습니까?,Null
l2,27,19,Continuous,"회계연도 3년 전인 2009/2010 회계연도 말에 이 시설에서 근무하는 상근 풀타임 직원은 몇 명입니까? 모든 직원 및 관리자를 포함하십시오.
3회계연도 전 정규직 근로자",회계연도 말에 이 시설에서 근무한 상근 정규직 직원은 몇 명입니까? 모든 근로자와 관리자를 포함하십시오.,Null
l30a,16,7,Nominal,카드의 응답 옵션 사용 노동 규정이 이 시설의 현재 운영에 어느 정도 장애가 됩니까?,노동 규정은 이 시설의 현재 운영에 어느 정도 장애가 됩니까?,
l30b,8,7,Nominal,카드의 응답 옵션 사용 교육을 제대로 받지 못한 인력이 이시설의 현재 운영에 어느 정도 장애가 됩니까?,교육을 제대로 받지 못한 인력은 이 시설의 현재 운영에 어느 정도 장애가 됩니까?,
l3a,262,465,Continuous,"2011/2012 회계연도말에 이 시설에 정규직으로 근무하는 개인의 수는 다음과 같습니다.
생산 노동자",회계연도 말에 이 시설에서 근무한 상근 정규직 직원이 몇 명 있었습니까?_생산노동자만,
l3b,262,465,Continuous,"2011/2012 회계연도말에 이 시설에 정규직으로 근무하는 개인의 수는 다음과 같습니다.
비생산직 근로자[예: 관리자, 관리, 영업]","회계연도 말에 이 시설에서 근무한 상근 정규직 직원이 몇 명 있었습니까?_비생산노동자만(관리, 판매)",
l4b,263,7,Continuous,"2011/2012 회계연도 말에 이 시설에서 근무하는 상근 풀타임 개인의 수는 다음과 같습니다.
미숙련 생산 노동자",회계 연도 말[최근 전체 회계 연도 삽입]에 이 시설의 상근 정규직 생산 근로자는 몇 명입니까?_low skilled만,
l5a,265,467,Continuous,"2011/2012 회계연도 말에 다음 범주에서 이 시설에서 근무하는 상근 직원은 몇 명입니까?
여성 정규직 생산직",회계연도[202/2021] 말에 이 시설에서 다음 각 범주의  상근 정규직 근로자는 몇 명입니까?_생산직만,
l5b,267,467,Continuous,"2011/2012 회계연도 말에 다음 범주에서 이 시설에서 근무하는 상근 직원은 몇 명입니까?
여성 정규직 비생산직",회계연도[202/2021] 말에 이 시설에서 다음 각 범주의  상근 정규직 근로자는 몇 명입니까?_비생산직만,
l6,9,9,Continuous,"2011/2012년 동안 이 시설에서 정규직 임시 직원을 몇 명이나 고용했습니까?(정규직, 비정규직은 모두 재계약이 보장되지 않는 유급 단기(즉 1년 미만) 근로자를 말하며 정규직으로 일함)
지난 회계 연도에 고용된 풀타임 계절 근로자 또는 임시 근로자",[마지막 전체 회계 연도 삽입] 동안 이 시설에 몇 명의 상근 계절 근로자 또는 임시 근로자가 있었습니까?,
l9b,17,606,Percent,"중등교육을 마친 풀타임 정규직 근로자의 비율은 얼마입니까?
중등교육을 이수한 정규직 비율",회계연도 말 [마지막 회계연도 삽입] 에 중등교육을 마친 풀타임 상근 근로자의 몇 퍼센트 또는 몇 명이 고용되었습니까?_백분율,
m1a,3,147,Nominal,"목록에 포함된 비즈니스 환경 요소 중 현재 이 시설이 직면한 가장 큰 장애물이 무엇인지 알 수 있습니까?
가장 큰 장애물",비즈니스 환경의 요소 목록을 살펴보고 현재 이 시설이 직면한 가장 큰장애물이  있다면 무엇인지 알려주십시오,Null
n2a,31,38,Continuous,"이 시설의 2011/2012 회계연도 손익계산서에서 다음 정보를 제공하십시오.
임금, 급여, 상여금, 사회 보장 수당을 포함한 총 연간 인건비(Taka)","이 시설의 회계 연도 손익 계산서를 보고 임금, 급여, 보너스, 사회 보장 지불을 포함한 연간 노동 비용을 적어라(Taka)",
n2b,28,34,Continuous,"이 시설의 2011/2012 회계연도 손익계산서에서 다음 정보를 제공하십시오.
연료의 연간 총 비용(Taka)",이 시설의 회계 연도 손익 계산서를 보고 연간 총 전기 비용을 적어라(Taka),
n2e,310,490,Continuous,"이 시설의 2011/2012 회계연도 손익계산서에서 다음 정보를 제공하십시오.
생산에 사용되는 원자재 및 중간재의 연간 총 비용(Taka)",이 시설의 회계 연도 손익 계산서를 보고 생산에 사용되는 원자재 및 중간 상품의 연간 비용을 적어라(Taka),
n3,114,71,Continuous,회계연도 3년 전인 2009/2010 회계연도에 이 시설의 총 연간 매출은 얼마(Taka),회계연도[마지막 전체 회계 연도에서 2를 뺀 값 삽입]을 되돌아 보면 이 시설의 총 연간 매출은 얼마입니까?,Null
n7a,323,496,Continuous,"가설적으로, 이 시설이 현재 사용하는 자산을 현재 상태로 구입하고 시설 소유 여부에 관계없이 소유, 임대 또는 임대 여부와 관계없이 비용은 얼마입니까?
기계, 차량 및 장비(Taka)","이 시설이 현재 사용하는 모든 기계, 차량 및 장비 를 시설 소유 여부에 관계없이 현재 상태로 구입한다면 비용은 얼마입니까?(Taka 단위)",
SARd31e,,,Nominal,,,
SARd31f,,,Nominal,,,
idstd,,,,,,
h4a,,,Nominal,,,
BGDk1c,,,Nominal,,,
r1,,,Nominal,,,
BGDd22,,,Nominal,,,
BGDd30c,,,Continuous,,,
